nohup: ignoring input
Initializing TensorFlow...
Running util_scripts.evaluate_metrics()...
Logging output to results/002-pgan-masks_complete_full_no_empty-preset-v2-1gpu-fp32/metric-swd-16k.txt
Streaming data using dataset.TFRecordDataset...
WARNING:tensorflow:From /nobackup/data/mehfo331/Code/progressive_growing_of_gans/dataset.py:74: tf_record_iterator (from tensorflow.python.lib.io.tf_record) is deprecated and will be removed in a future version.
Instructions for updating:
Use eager execution and: 
`tf.data.TFRecordDataset(path)`
WARNING:tensorflow:From /nobackup/data/mehfo331/Conda/PGAN/lib/python3.6/site-packages/tensorflow/python/framework/op_def_library.py:263: colocate_with (from tensorflow.python.framework.ops) is deprecated and will be removed in a future version.
Instructions for updating:
Colocations handled automatically by placer.
Dataset shape = [1, 256, 256]
Dynamic range = [0, 6]
Label size    = 0
Initializing metrics.sliced_wasserstein.API...

Snapshot  Time_eval   SWDx1e3_256  SWDx1e3_128  SWDx1e3_64   SWDx1e3_32   SWDx1e3_16   SWDx1e3_avg  
8960      15m 46s     12.3381      5.4121       2.8285       3.0971       3.2989       5.3950       
8920      15m 46s     11.8219      4.4947       2.8403       3.0552       4.3242       5.3073       
8880      15m 46s     13.1248      5.9142       2.7941       3.4033       4.4369       5.9346       
8840      15m 45s     10.1188      3.2242       3.4689       4.8180       5.6649       5.4590       
8800      15m 46s     10.9628      4.2701       3.2045       4.1807       5.8669       5.6970       
8760      15m 45s     9.3585       2.3895       5.3136       6.6803       8.6454       6.4775       
8720      15m 42s     9.2957       2.5382       4.1360       5.5417       7.5160       5.8055       
8680      15m 44s     10.3564      4.5245       2.5641       3.2736       4.0067       4.9451       
8640      15m 44s     11.0127      3.8516       2.7357       3.8329       4.5733       5.2012       
8600      15m 46s     12.3112      4.9616       3.0505       3.5630       4.1861       5.6145       
8560      15m 45s     12.6348      5.2699       3.2696       3.6908       4.5626       5.8855       
8520      15m 46s     11.7331      4.6723       3.0844       3.9885       5.2104       5.7377       
8480      15m 46s     11.6074      5.1070       2.8575       3.1187       3.7594       5.2900       
8440      15m 44s     11.9862      4.5442       2.7918       3.4268       4.5697       5.4637       
8400      15m 44s     12.0533      4.8545       2.8723       3.6243       4.9068       5.6622       
8360      15m 44s     13.5835      5.3551       3.3953       3.1537       4.1132       5.9202       
8320      15m 50s     11.4666      4.7411       2.7952       2.9562       3.6089       5.1136       
8280      15m 42s     11.5451      5.1836       3.4384       3.3600       3.5259       5.4106       
8240      15m 46s     10.5039      4.3414       2.6625       3.0331       4.0532       4.9188       
8200      15m 44s     11.2916      4.8160       3.0534       3.4500       4.2465       5.3715       
8160      15m 46s     8.7100       3.0501       3.1433       4.4463       5.0356       4.8771       
8120      15m 45s     10.0025      3.7439       2.6529       3.0799       4.4922       4.7943       
8080      15m 45s     10.6264      4.9155       2.8100       3.1794       4.4957       5.2054       
8040      15m 43s     10.3713      4.2465       2.9567       3.1104       4.2178       4.9805       
8000      15m 44s     10.9383      4.6676       2.5201       2.9414       4.4026       5.0940       
7960      15m 44s     9.8108       4.4057       2.6820       2.9945       3.2171       4.6220       
7920      15m 46s     7.1153       3.2114       5.9943       7.3881       8.1260       6.3670       
7880      15m 47s     8.2692       2.3959       3.6327       4.2728       5.8924       4.8926       
